분류,상세설명,여행지,장소,전화번호,주소,Latitude,Longitude
"여행,명소 > 항구","항내수(港內水)면적 402㎢. 항만법상 1종항으로, 한국에서 석탄과 시멘트의 반출항으로서는 북평항(北坪港) 건설 이전까지는 최대의 규모였다. 동해안의 어업기지 및 피난항으로서 이용도가 높다. 1947년 8월 25일 개항장으로 지정되었으며, 세계은행(IBRD) 차관자금으로 1976년 2월 대규모 확장공사에 착수하여 석탄 하역장비의 교체 및 신설, 기존 석탄부두의 개수, 방파제 등을 보강하여 항구의 면모를 새롭게 하였다. 제3·4부두에 안벽 795m, 잔교 2기, 물량장(876m) 등의 접안시설이 있고, 하역시설로는 석탄반출용 선적기가 석탄잔교에, 시멘트 반출용 하역장비가 제3·4부두에 설치되어 있다. 하역능력은 연간 658만 t이다. 입항화물은 양곡·무연탄·유연탄·수산물·기타 광석 등 연간 약 36만 t이고, 출항화물은 유류·비료·시멘트·무연탄·수산물·철광석 등 연간 약 355만 t이다.지식백과",강원동해시,묵호항,033-534-8899,강원도 동해시 묵호진동,37.5558816,129.1145348
"여행,명소 > 바위","강원도 동해시 추암동 추암해수욕장 근처 해안에 있다. 바다에서 솟아 오른 형상의 기암괴석으로 그 모양이 촛대와 같아 촛대바위라 불린다. 전설에 따르면, 추암에 살던 한 남자가 소실을 얻은 뒤 본처와 소실 간의 투기가 심해지자 이에 하늘이 벼락을 내려 남자만 남겨놓았으며, 이때 혼자 남은 남자의 형상이 촛대바위라고 한다. 촛대바위 주변에 솟아오른 약10여 척의 기암괴석은 동해바다와 어울려져 절경을 연출하며, 그 모양에 따라 거북바위, 두꺼비바위, 부부바위, 코끼리바위, 형제바위 등으로 불린다. 이곳의 바위군(群)은 동해시 남서부에 분포된 조선누층군의 석회암이 노출된 것이다. 석회암은 화학적 풍화작용의 영향을 많이 받는데, 이 일대의 석회암이 토양 밑에 있을 때 지하수의 작용으로 용해되어 독특한 모양을 이루었고, 이것이 바닷물에 의해 노출되어 지금과 같은 절경을 이루게 되었다. 조선시대 도체찰사(都體察使)로 있던 한명회(韓明澮)는 이곳의 바위군(群)이 만들어 내는 절경을 가리켜 미인의 걸음걸이를 뜻하는 능파대(凌波臺)라고도 하였다.예로부터 영동지방의 절경으로 손꼽혔으며 특히 해돋이 무렵, 태양이 촛대바위에 걸리는 모습이 장관을 이루어 해돋이 명소로 각광받는다. 주변에 추암해수욕장, 해암정 등이 있다.지식백과",강원동해시,추암촛대바위,033-530-2801,강원도 동해시 추암동,37.4738654,129.1511144
"여행,명소 > 등대","바다 조망이 가능한 소공원과 해양수산홍보관이 있는묵호등대는 1963년 6월 8일 건립 묵호항을 이용하는 선박들의 안전운항에 기여하고 있습니다. 해발고도 67m에 자리잡은 묵호등대는 백원형 철근콘크리트구조로 높이는 12m, 내부 2층형 구조를 갖추고 있고, 2003년 10월에는 국내기술로 개발한 프리즘렌즈 회전식 대형등명기가 설치돼 42km에서도 식별이 가능합니다. 묵호등대 소공원에서는 시원한 바다를 조망할 수 있으며, 작은 해양수산홍보관에서 해양수산 변천사를 확인할 수 있습니다. 특징강원도 동해안 최대 항만인 묵호항 동문산에 등대가 위치하며 연안표지 역할을 하고 있습니다.  최초점등일 : 1963-06-08구조 : 백원형 콘크리트(12m)등질 : 섬백광 10초 1섬광(FlW10s)해양관광포털 바다여행",강원동해시,묵호등대,033-531-3258,강원도 동해시 해맞이길 289 묵호항로표지관리소지번강원도 동해시 묵호진동 2-215,37.5545081,129.1184369
"여행,명소 > 계곡","호암소에서 용추폭포까지 이르는 약 4㎞에 달하는 계곡을 가리킨다. 조선 선조 때 삼척부사 김효원이 이름을 붙였다고 전해지며 신선이 노닐었다는 전설에 따라 무릉도원이라 불리기도 한다. 두타산(頭陀山)과 청옥산(靑玉山)을 배경으로 하는 이 계곡은 기암괴석과 무릉반석, 푸른 못 등으로 유명하다. 고려시대에는 이승휴가 머물며 제왕운기를 집필하였고, 이곳을 찾았던 많은 시인 묵객들의 기념각명(刻名)이 무릉반석(盤石)에 새겨져있다. 호랑이가 건너뛰다 빠져 죽은 소(沼)라는 전설이 있는 호암소가 계곡 입구에 있고, 한말 유림들의 뜻을 기리기 위해 건립한 금란정이 있다. 용추폭포(龍湫瀑布)와 쌍폭(雙瀑)가 장관을 이룬다. 1977년 국민관광지로 지정되었으며 2008년 2월 5일 명승 제37호로 지정되었다.지식백과",강원동해시,무릉계곡,033-539-3700,강원도 동해시 삼화로 538 무릉계곡관리사무소지번강원도 동해시 삼화동 859,37.4634467,129.0193026
"여행,명소 > 해수욕장,해변","드넓은 수평선과 밀려오는 해풍의 시원함개장기간 : 매년 7~8월 중요금입장료 무료특징•수심 : 100에 이르기까지 1.5m 깊이를 유지•야영장 : 41,760㎡(12,600평), 최대 20,000명 수용•드넓은 백사장과 얕은수심, 전국제1의 청정수역을 자랑하며 가족단위 피서객들에게 인기•천평의 야영장, 2천5백평의 주차장을 포함, 상하수도 시설, 관리사무소 등의 기반시설과 망상오토캠핑리조트, 호텔, 민박, 상가 등의 편의시설 구비면적: 8,264㎡시설 및 제공서비스 : 샤워실 탈의실 급수대 무료 야영장 백사장내 설치해양관광포털 바다여행",강원동해시,망상해수욕장,033-530-2800,강원도 동해시 망상동 393-16,37.5977869,129.0819264
"여행,명소 > 해수욕장,해변",‘환상 해안선 기차여행’의 종착지개장기간 : 매년 7~8월 중요금입장료 무료특징해수 사우나주차가능시설 및 제공서비스 : 샤워실 화장실 급수대 매점 야영장해양관광포털 바다여행,강원삼척시,삼척해수욕장,033-570-3843,강원도 삼척시 교동 삼척해수욕장,37.4683333,129.1691667
"여행,명소 > 항구","원래 시멘트 적출이 주기능으로 되어 있으나, 어항으로서도 중요시된다. 명태·오징어·삼치·꽁치 등 어족이 풍부한 어장을 끼고, 어획물 처리장으로 이용된다. 1980년 동해고속도로가 개통되고, 임원∼울릉도 간 쾌속여객선이 취항하게 되어 이 항구를 경유하는 관광객이 급증하였다. 접안시설 80m, 물량장 343m 등 항만시설로 1,000t급 선박 1척이 접안하고, 연간 하역능력은 5만t인데 주로 수산물이 양륙된다.지식백과",강원삼척시,임원항,,강원도 삼척시 원덕읍 임원리,37.2395383,129.3139976
"여행,명소 > 동굴","주굴 길이는 약 3.3km이고, 총길이는 약 6.5km이다. 환선굴을 포함한 대이리동굴지대는 천연기념물 제178호로 지정되어 있다. 동굴은 대체로 북향으로 전개되며 안쪽 80m 지점에 둘레 20여m의 거대한 석주가 서 있고, 그곳에서 북굴북서굴중앙굴남굴의 4갈래로 갈린다.남한에서 가장 규모가 크고 복잡한 구조를 지닌 노년기 동굴로, 종유석의 발달이 퇴폐적이나 윤회재생(輪廻再生)의 과정에 있는 것도 볼 수 있고, 동굴류(洞窟流)의 발달이 탁월하며, 동굴동물도 많이 서식하고 있어 학술적인 면에서 매우 중요한 의미를 지니고 있다.지식백과",강원삼척시,환선굴,033-541-9266,강원도 삼척시 신기면 환선로 800 대이동굴관리소지번강원도 삼척시 신기면 대이리 189,37.3255799,129.0171309
"여행,명소 > 동굴",대금굴은 100% 인터넷 사전예약제입니다.당일 예매는 불가능하며 1일전까지 예매가 가능합니다.예매는 http://samcheok.smartix.co.kr 에서 하시기 바랍니다.,강원삼척시,대금굴,033-541-7600,강원도 삼척시 신기면 환선로 800지번강원도 삼척시 신기면 대이리 189,37.3251425,129.017194
"여행,명소 > 계곡","응봉산(999m) 북서쪽 아래 풍곡마을 입구에서 덕풍마을에 이르는 길이 6㎞의 계곡이다. 버들치와 산천어·꾸구리·퉁사리·연준모치·민물참게 등이 서식하여 계곡 전체가 보호수면으로 지정되어 있다．계곡 양쪽으로 깎아지른 기암절벽과 노송이 장관이고 계곡 진입로를 벗어나면 나무·산·석탄이 많다는 내삼방이 나오는데 이곳에서 경복궁 대들보인 삼척목이 났다. 계곡에서 용소의 제3폭포에 이르는 12㎞는 내금강을 떠올리게 할 만큼 경치가 빼어나고, 제1폭포와 수심이 40m에 이르는 용소를 지나면 제2폭포와 용소, 다시 제3폭포까지 계곡의 반석지대가 3㎞에 걸쳐 이어진다. 계곡의 물이 너무 차서 물놀이보다는 산천어 등을 낚는 낚시가 적당하며 계곡 트레킹도 즐길 수 있다. 의상대사와 나무 비둘기에 얽힌 설화가 전한다. 신라 진덕여왕 때 의상대사가 이곳에 와서 나무로 만든 비둘기 3마리를 날렸는데 1마리는 울진 불영사에 떨어지고, 1마리는 안동 흥제암에, 나머지 1마리는 이 계곡의 용소로 떨어졌다고 한다. 용소골에 나무 비둘기가 떨어지자 이 일대는 천지개벽이 일어나 아름다운 산수의 조화를 이루게 되었다고 한다. 태백과 통리에서 가곡행 시외버스가 다닌다. 승용차로 가려면 중앙고속도로를 타고 제천·영월을 지나 태백에서 호산·풍곡 방면 416번 지방도를 타거나, 삼척에서 울진 방면 7번 국도로 근덕·임원을 지나 월천까지 간 뒤 416번 지방도를 타고 풍곡으로 간다.지식백과",강원삼척시,덕풍계곡,033-576-0394,강원도 삼척시 가곡면 풍곡리,37.0918635,129.1583381
"여행,명소 > 테마공원","면적 2만 3089㎡이다. 남근숭배의 민속을 주제로 조성된 테마공원으로서 해신당과 남근조각공원, 삼척어촌민속전시관 등으로 이루어져 있다.옛날 신남마을의 애랑이라는 처녀가 해변에서 조금 떨어진 애바위에서 해초를 캐다가 갑자기 거세진 풍랑으로 인하여 바다에 빠져 죽었는데, 그 뒤로 고기가 잡히지 않자 나무로 남근 모형을 깎아 처녀의 원혼을 달랬다. 이를 애바위전설이라 한다. 이후 해신당을 지어졌고, 지금도 음력 정월 대보름과 10월의 오일(午日)에 제사를 지내는 풍습이 전해진다.2002년 7월 해신당을 중심으로 남근조각공원을 조성하여 해신당공원을 열었다. 남근조각공원에는 남근조각경연대회를 통하여 제작된 작품 등 국내외 조각가들의 65점이 전시되어 있다. 2002년 10월 개관한 삼척어촌민속전시관은 첨단 IT기술을 접목한 대형 영상수족관, 동해안 어민의 생활문화 자료, 시뮬레이터를 이용한 배 체험 코너, 세계 각국의 성 민속 등을 전시하는 5개의 전시실과 전망대 등을 갖추고 있다.관람 시간은 오전 9시에서 오후 6시까지이다. 강원도 삼척시 원덕읍 갈남리에 있으며, 주변에 용호해수욕장, 장호어촌체험마을, 황영조기념공원 등의 명소가 있다.지식백과",강원삼척시,해신당공원,033-572-4429,강원도 삼척시 원덕읍 삼척로 1852-6 해신당공원지번강원도 삼척시 원덕읍 갈남리 332-1,37.2679859,129.3273488
"여행,명소 > 항구","해안선이 절경인 동양의 나폴리.장호리의 옛 명칭은 장오리였다.마을의 지형이 수컷 오리인 장오리를 닮았다고 해서 그렇게 불리다가 지금의 장호리로 바뀌었다.장호항은 1971년에 국가어항으로 지정됐다.1973년에는 기본시설계획이 수립되었고, 정비계획은 1993년에 수립되어 1999년에 방파제 및 호안 공사가 시행되었다.현재는 방파제 290m와 방사제196m를 비롯해 대규모 물양장과 호안을 갖추었다.주요 어종으로는 가자미, 오징어, 대구, 대게, 도루묵, 곰치, 꽁치, 임연수어 등이 있다.주변 갯바위에서는 자연산 돌미역과 돌김도 많이난다. 장호항은 항구 자체보다도 어촌체험마을로 더 유명하다.장호어촌체험마을은해양레저형 체험마을로 우리나라에서도 손꼽히는 곳이다.해안선이 절경인 동양의 나폴리초승달 모양의 용화해변과 유리처럼 투명한 에메랄드빛 바다, 장호항전경 등이 한데 어우러진 풍광은 숨이 막히고 탄성이 절로 터져 나올 만큼 아름답고 웅장하다.과연 한국의나폴리’라 불리울 만하다.장호항 주변에 모래가 깔린 얕은 바다와 아름다운 갯바위가 많아서 게, 고둥잡이, 통발어업, 창경바리, 후릿그물 당기기, 스노클링, 스쿠버다이빙, 투명카누 타기 등 다양한 어촌체험활동이 가능해서 동해안최고의 어촌체험마을로 손꼽힌다.게다가 데크전망대, 지압산책로등의 편의시설이 갖춰져 있고 숙박업소와 음식점도 많아서 사계절 휴양지로도 안성맞춤이다.또한 삼척의어항들 가운데 낚싯배가 가장 많은 장호항은 가자미나 대구 지깅 배낚시를 즐기려는 낚시꾼들의 발길이 일 년 내내 끊이질 않는다.지정년월일1971.12.21주 어종오징어, 꽁치, 가자미, 문어, 임연수어, 도루묵, 새우, 골뱅이 등주변 놀거리장호어촌체험마을 아름다운 항구와 기암절벽, 해안이 잘 어우러진 곳으로, 투명카누, 바다래프팅, 통발체험, 스노우클링 등 다양한 해양레포츠를 즐길 수 있다.용화해변 백사장 한가운데로 용화천 냇물이 바다로 흘러들어 담수욕과 해수욕을 한자리에서 즐길 수 있다.해양관광포털 바다여행",강원삼척시,장호항,,강원도 삼척시 근덕면 장호리,37.2709132,129.3100705
"여행,명소 > 항구","일제강점기 때부터 어항(漁港)으로 알려져 왔으나, 1937년 청초호(靑草湖) 주변에 속초항이 새로 생기고, 1942년 10월 속초읍이 생긴 뒤에는 몇 척의 어선만 드나드는 한적한 포구로 바뀌었다. 그러다 설악산과 동해안이 전국적인 관광지로 탈바꿈하면서 설악산 기슭에 자리잡은 대포항에도 관광객들이 찾아들기 시작하자, 이와 비례해 어선들도 덩달아 늘어나기 시작하였다.따라서 전문 어항으로서보다는 관광객을 상대로 하는 관광어항의 성격이 짙어 항구에 드나드는 어선들도 대형 어선은 거의 없고, 대부분이 소형 어선들이다. 설악산·척산온천(尺山溫泉)·동해·청초호·영랑호(永郞湖) 등을 찾는 관광객들은 대부분 이 곳에 들르는 경우가 많아 대포항도 자연스럽게 발전을 거듭하였다.오늘날에는 배를 댈 공간이 없을 정도로 어선들이 항구에 가득 차서, 새벽녘이면 고기를 잡아 항구로 들어오는 어선들로 북적인다. 인근 바다에서는 주로 넙치·가자미·방어 등이 많이 잡힌다. 항구로 들어오는 진입로 양 옆에는 500여 미터에 걸쳐 건어물 가게와 횟집이 늘어서 있고, 어판장 쪽에는 활어 난전이 형성되어 동해안에서 갓 잡아온 싱싱한 활어를 맛볼 수 있다. 또 갓길에서는 오징어 순대와 구운 새우 등을 파는 노점상들이 줄지어 늘어서 있어 여름철이면 많은 사람들로 붐빈다.연간 100만 명에 달하는 관광객들이 찾는데, 관광객 수에 비해 어항이 좁아 2003년 말 현재 속초시에서 종합 관광어항 개발사업을 추진하고 있다. 속초시에서 자동차로 10분도 걸리지 않아 교통도 편리하다.지식백과",강원속초시,대포항,033-633-3171,강원도 속초시 대포동,38.1656852,128.5569925
"레저,테마 > 케이블카",,강원속초시,설악산국립공원케이블카,033-636-4300,강원도 속초시 설악산로 1137지번강원도 속초시 설악동 170,38.1630004,128.5454229
"여행,명소 > 항구","강원도 속초시 동북쪽에 위치한 항구이다. 주변 항구 가운데 비교적 큰 항구로써 1978년부터 15년 동안 약 500m 길이의 방파제가 축조되었다. 방파제 축조 뒤 인근 지역의 고깃배를 비롯한 많은 배들이 정박하고 있으며 금강산 관광을 위한 여객선과 러시아와 중국을 연결하는 국제 항로가 개설되었다. 동해에서 해가 밝아오는 항구라는 이름대로 일출이 유명하여 매년 1월 1일 일출을 보기 위해 많은 관광객이 찾는다. 항구 주위로 일출을 잘 볼 수 있는 영금정(靈琴亭)과 영금정 해돋이정자, 속초등대전망대 등이 있다. 영금정 뒤쪽의 해안도로도 일출명소로 널리 알려졌다.어항과 맞붙어 북쪽에서 남쪽으로 뻗어있는 방파제에서 바다낚시를 할 수 있으며 방파제 입구에는 활어시장이 형성되었다. 영금정 동남쪽에는 반 가량이 숲으로 덮인 작은 섬 조도(鳥島)가 있다. 새섬이라고도 불리는 이 섬에는 정자가 하나 있었으나 헐리고 등대가 들어섰다. 동명항은 작은 고깃배들을 위한 어항과 여객선과 화물선 등이 정박하는 항구로 구성되었다. 항구에는 금강산 유람선인 설봉호가 출항하는 현대여객터미널과 러시아 포시에트항을 경유하여 중국 훈춘항으로 연결되는 여객선이 운항되는 속초국제여객터미널이 있다. 특히 속초국제여객터미널은 백두산 관광객과 러시아 또는 중국을 대상으로 소규모 무역을 하는 보따리 상인들이 많이 이용한다.지식백과",강원속초시,동명항,033-633-3171,강원도 속초시 동명동,38.2125972,128.5957922
"레저,테마 > 워터파크","100% 천연보양온천수, 설악 워터피아소중한 이들과의 아름다운 추억과 빛나는 이야기가 시작됩니다.Where the story begins!지식백과",강원속초시,한화리조트설악워터피아,033-630-5800,강원도 속초시 미시령로2983번길 111지번강원도 속초시 장사동 24-1,38.2104043,128.5284422
"여행,명소 > 자연명소","정식명칭은 해안분지(亥安盆地)이지만 펀치볼로 더 잘 알려져 있다. 한국전쟁 때의 격전지로, 외국 종군기자가 가칠봉에서 내려다 본 모습이 화채 그릇(Punch Bowl)처럼 생겼다 하여 붙인 이름이라고 한다. 가칠봉대우산도솔산대암산 등 해발 1,100m 이상의 산에 둘러싸인 분지이며, 남북 길이 11.95km동서 길이 6.6km에 면적은 44.7㎢로 여의도의 6배가 넘는다. 해발고도는 400 ~ 500m이다. 차별 침식 분지라는 주장도 있고, 운석 충돌 분지라는 주장도 있다. 분지 안에는 펀치볼마을(양구군 해안면 만대리현리오유리)이 있다.지식백과",강원양구군,펀치볼,033-481-9021,강원도 양구군 해안면,38.2851823,128.1372421
"여행,명소 > 지역명소","제4땅굴:1990년 3월 3일 강원 양구(楊口) 북동쪽 26km 지점에서 발견되었다. 너비 1.7m, 높이 1.7m, 깊이 지하 145m, 길이 약 2.1km에 달하는 암석층 굴진 구조물이다. 하절기(3월~10월) 매일 09:00 - 18:00 동절기(11월~2월) 매일 09:00 - 17:00지식백과",강원양구군,제4땅굴,033-481-9021,강원도 양구군 해안면 이현리,38.317709,128.1120428
"여행,명소 > 계곡",두타연은 민간인 출입통제선 북방인 방산면 건솔리 수입천의 지류에 있는데 동면 비아리와 사태리 하류이기도 하다.더보기,강원양구군,두타연,033-480-2251,강원도 양구군 방산면 고방산리 1024,38.2722018,127.9956157
"여행,명소 > 천문대","국내 최대 규모의 80cm 나스미스식 반사망원경을 비롯해 여러 대의 천체망원경이 있으며, 최신의 천문학 내용을 공부할 수 있는 전시체험 공간과 환상적인 천체투영실이 있습니다.",강원양구군,국토정중앙천문대,033-480-2586,강원도 양구군 남면 국토정중앙로 127 지구과학관지번강원도 양구군 남면 도촌리 96-5,38.0688458,128.0298692
"자연명소 > 휴양림,산림욕장",,강원양구군,광치자연휴양림,033-482-3115,강원도 양구군 남면 광치령로1794번길 265 펜션지번강원도 양구군 남면 가오작리 5-1,38.1433534,128.0712748
"여행,명소 > 해수욕장,해변","매년 200만 인파가 다녀가는 강원도의 대표 해변개장기간 : 매년 7~8월 중요금입장료 무료면적: 30,791㎡시설 및 제공서비스 : 샤워실 탈의실 화장실 야영장해양관광포털 바다여행",강원양양군,낙산해수욕장,033-670-2518,강원도 양양군 강현면 해맞이길 59지번강원도 양양군 강현면 주청리 1-1,38.1167945,128.6340071
